// Undantag hittade

1345 Mälartorget
7365 Alby
7364 Alby
3432 Bergshamra
3430 Bergshamra



Testa genom att kontrollera att det finns tunnelbanor med i resultatet:
http://api.sl.se/api2/realtimedepartures.json?key=bebfe14511a74ca5aef16db943ae8589&timewindow=50&siteid=<siteid att testa>



Från samtliga stationer i databasen:
id|siteid|sitename|latitude|longitude
44|1031|Handelshögskolan|59.3408840007015|18.0578994257094
45|9320|Hjulsta|59.3975010137794|17.8892901779774
46|9295|Hornstull|59.3159632980205|18.0355402102693
47|9301|Husby|59.4097176326344|17.9269066053237
48|9327|Huvudsta|59.3497132209047|17.9870070274309
49|3490|Huvudsta centrum|59.3497132209047|17.9870070274309
50|9262|Hägerstensåsen (t-banan)|59.2951615223219|17.9784233065016
51|9101|Hässelby gård|59.3670448853005|17.8442877712687
52|9100|Hässelby strand|59.3617428105017|17.8324667161437
53|9162|Högdalen|59.2637694810849|18.0430377645113
54|9182|Hökarängen|59.2579307022309|18.0824977977387
55|9179|Hökarängen T|59.2579307022309|18.0824977977387
56|9119|Hötorget|59.3356060415282|18.0629635851674
57|9106|Islandstorget|59.3459947012697|17.8932718445772
58|9102|Johannelund|59.3679232409668|17.8581326256469
59|1023|Karl XII:s torg|59.3307821796554|18.0728892526853
60|9222|Karlaplan|59.3389882957986|18.0919988929416
61|1109|Karlavägen|59.3408076157474|18.0819427479138
62|1230|Kellgrensgatan|59.337477366128|18.015593812489
63|9302|Kista|59.4029594411987|17.9426683336417
64|9113|Kristineberg|59.3327224102678|18.0031233049855
65|1019|Kungsgatan / Sveavägen|59.3356060415282|18.0629635851674
66|9340|Kungsträdgården (T-banan)|59.3307821796554|18.0728892526853
67|9142|Kärrtorp|59.2844869642383|18.1144927799517
68|9294|Liljeholmen|59.3107413850728|18.0231848932682
69|9297|Mariatorget (t-banan)|59.317014373907|18.0621173620111
70|9284|Masmo|59.2499160692218|17.8813985689491
71|9191|Medborgarplatsen|59.3148923778042|18.0726216304905
72|9264|Midsommarkransen|59.3018622871211|18.0119663033992
73|1123|Musikhögskolan|59.3408076157474|18.0819427479138
74|9290|Mälarhöjden|59.3012518260086|17.957741811607
75|1345|Mälartorget|59.3234014331035|18.0671617033001
76|9200|Mörby centrum|59.3983196270836|18.0364235120228
77|9280|Norsborg|59.2437394272553|17.8155385869142
78|1125|Nybrogatan|59.3408076157474|18.0819427479138
79|9304|Näckrosen|59.3673205615557|17.9817335216068
80|1082|Odengatan/Valhallavägen|59.3465411447573|18.0693156587543
81|9117|Odenplan|59.3427594713838|18.0486006570919
82|9322|Rinkeby|59.3881298077025|17.9280926120175
83|3783|Rinkeby centrum|59.3881298077025|17.9280926120175
84|9323|Rissne|59.3759873132034|17.9397923648635
85|9220|Ropsten|59.3574988438994|18.1030754913324
86|9104|Råcksta|59.3545134760031|17.8816258413569
87|9309|Rådhuset|59.3298618228492|18.0450969466288
88|9118|Rådmansgatan (t-banan)|59.3408840007015|18.0578994257094
89|9161|Rågsved|59.2567278828953|18.0284423903572
90|9186|Sandsborg|59.2856752641236|18.0919325152121
91|9116|Sankt Eriksplan|59.3402934026792|18.0374161430336
92|1000|Sergels torg|59.3313179695028|18.0616773959365
93|9190|Skanstull|59.3084969588188|18.0758138335239
94|9140|Skarpnäck (t-banan)|59.267427306007|18.1335110441424
95|1838|Skarpnäcksområdet|59.267427306007|18.1335110441424
96|9185|Skogskyrkogården|59.2789670265301|18.0955186440715
97|9287|Skärholmen|59.2769904614008|17.9070656617613
98|9188|Skärmarbrink|59.2952665051917|18.0903639324155
99|9192|Slussen|59.3195952317958|18.071740133708
100|9166|Sockenplan|59.283609704603|18.0708746681109
101|9305|Solna centrum|59.3597729577538|17.9981001818312
102|3472|Solna centrum norra|59.3597729577538|17.9981001818312
103|9326|Solna strand|59.3543425137782|17.9737982007029
104|9205|Stadion (t-banan)|59.3408076157474|18.0819427479138
105|9307|Stadshagen|59.337477366128|18.015593812489
106|9000|Stockholms central|59.3313179695028|18.0616773959365
107|9600|Stockholms östra|59.3465411447573|18.0693156587543
108|9111|Stora mossen|59.3346646732361|17.9653558320959
109|9164|Stureby|59.2746253315278|18.0555927213696
110|9325|Sundbyberg|59.3605690848517|17.9730344872092
111|9165|Svedmyra|59.2780209787806|18.0679591281672
112|9288|Sätra|59.2850604023792|17.9210937554179
113|9184|Tallkrogen|59.2712662580554|18.0855632676107
114|9001|T-Centralen|59.3313179695028|18.0616773959365
115|9204|Tekniska högskolan|59.3465411447573|18.0693156587543
116|9263|Telefonplan|59.2982482765907|17.9973180997882
117|9321|Tensta|59.3942868176953|17.9027198957965
118|3786|Tensta centrum|59.3942868176953|17.9027198957965
119|9114|Thorildsplan|59.3314927232727|18.0158378154947
120|3768|Trondheimsgatan|59.4097176326344|17.9269066053237
121|3623|Ulvsundaplan|59.3346646732361|17.9653558320959
122|9203|Universitetet|59.365361017987|18.0548947967027
123|9286|Vårberg|59.2759430857457|17.8901054830793
124|1796|Vårbergs centrum|59.2759430857457|17.8901054830793
125|9285|Vårby gård|59.2643380474581|17.8847136838613
126|9103|Vällingby|59.3632773225026|17.8720117901697
127|9261|Västertorp|59.2913516203392|17.9667006809331
128|9306|Västra skogen|59.3480375378972|18.0033743796139
129|9296|Zinkensdamm|59.3177049160947|18.0496904097639
130|9108|Åkeshov|59.3417679846642|17.9270450567812
131|9107|Ängbyplan|59.3419565156307|17.9070871163572
132|9292|Örnsberg|59.3054346744698|17.9891406576894
133|9206|Östermalmstorg|59.3349688288931|18.0763846822514
