#StopPointNumber;StopPointName;StopAreaNumber;LocationNorthingCoordinate;LocationEastingCoordinate;ZoneShortName;StopAreaTypeCode;LastModifiedUtcDateTime;ExistsFromDate
61791;Täby kyrkby trafikplats;61790;59.4752933558138;18.0523916350367;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61792;Täby kyrkby trafikplats;61790;59.4759383429491;18.0507433590369;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61793;Täby kyrkby trafikplats;61790;59.4755366781855;18.0511850447284;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61798;Hagbylund norra;61798;59.4748713113541;17.9944704904045;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61799;Hagbylund norra;61798;59.4750937847353;17.9945907735035;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61800;Norskolan;61800;59.4333902420245;18.0875941333505;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61901;Erikslundsvägen;61901;59.4628054333065;18.0540799043251;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61903;Almvägen;61903;59.4541457130510;18.0427633844658;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61904;Almvägen;61903;59.4545304303353;18.0412719241719;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61905;Stråkvägen;61905;59.4519692910701;18.0513321884667;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61906;Stråkvägen;61905;59.4525868151322;18.0493625048797;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61907;Sälgvägen;61907;59.4501860559260;18.0599789963906;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61908;Sälgvägen;61907;59.4503184628138;18.0590707374115;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61909;Uttervägen;61909;59.4476383291288;18.0620983004646;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61910;Uttervägen;61909;59.4476350371160;18.0621850041186;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61911;Roslags Näsby trafikplats;60011;59.4340855677913;18.0703482112437;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61912;Roslags Näsby trafikplats;60011;59.4347979466858;18.0681041802414;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61913;Örnstigen;61913;59.4334115771502;18.0745160917410;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61914;Örnstigen;61913;59.4334963761052;18.0748038061827;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61915;Maskinvägen;61915;59.4335733012472;18.0790266362720;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61916;Maskinvägen;61915;59.4338223669497;18.0803254204332;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61917;Kuttervägen;61917;59.4342343675263;18.0886205019780;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61918;Kuttervägen;61917;59.4343082998902;18.0869115904390;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61919;Koltrastvägen;61919;59.4339309268275;18.0926191660844;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61920;Koltrastvägen;61919;59.4342320590429;18.0908061945665;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61921;Näsbypark;61921;59.4315650303174;18.0954207628194;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61922;Näsbypark;61921;59.4309588706927;18.0967017721921;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61923;Ångaren;61923;59.4310967029480;18.0888321805565;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61925;Slottsvägen;61925;59.4275509157340;18.0908140172356;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61927;Näsby slott;61927;59.4270133863511;18.0871472278162;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61929;Flottiljvägen;61929;59.4297003013349;18.0787973844860;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61931;Allégården;61931;59.4332910028136;18.0731859778668;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61932;Näsbypark;61921;59.4301580949491;18.0952552121415;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61933;Åkerbyvägen norra;61933;59.4517872419019;18.0722726172402;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
