#LineNumber;DirectionCode;StopAreaNumber;LastModifiedUtcDateTime;ExistsFromDate
538;1;52175;2013-12-15 00:00:00.000;2013-12-15 00:00:00.000
538;1;52183;2013-03-06 00:00:00.000;2013-03-06 00:00:00.000
538;1;52185;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;52187;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;52189;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;52994;2014-03-07 00:00:00.000;2014-03-07 00:00:00.000
538;1;56512;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;57295;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;57301;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;57308;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;57310;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;57313;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;57318;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;57320;2013-12-15 00:00:00.000;2013-12-15 00:00:00.000
538;1;57322;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;57324;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;57329;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;57342;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;57405;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;57410;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;1;57458;2013-12-15 00:00:00.000;2013-12-15 00:00:00.000
538;1;57460;2013-12-15 00:00:00.000;2013-12-15 00:00:00.000
538;1;57462;2013-11-01 00:00:00.000;2013-11-01 00:00:00.000
538;1;57464;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50542;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50864;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
