#LineNumber;LineDesignation;DefaultTransportMode;DefaultTransportModeCode;LastModifiedUtcDateTime;ExistsFromDate
158;158;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
160;160;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
161;161;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
163;163;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
164;164;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
165;165;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
167;167;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
168;168;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
172;172;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
173;173;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
176;176;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
177;177;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
178;178;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
179;179;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
180;180;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
181;181;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
182;182;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
183;183;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
184;184;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
185;185;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
188;188;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
190;190;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
191;191;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
192;192;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
193;193;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
194;194;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
195;195;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
196;196;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
197;197;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
198;198;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
199;199;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
201;201;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
202;202;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
203;203;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
204;204;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
205;205;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
206;206;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
207;207;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
211;211;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
212;212;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
221;221;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
222;222;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
225;225;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
233;233;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
242;242;;BUS;2008-04-24 00:00:00.000;2008-04-24 00:00:00.000
282;282;;BUS;2010-03-29 00:00:00.000;2010-03-29 00:00:00.000
282;282;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
291;291;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
293;293;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
298;298;;FERRY;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
301;301;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
302;302;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
303;303;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
305;305;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
309;309;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
311;311;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
312;312;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
313;313;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
314;314;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
315;315;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
316;316;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
317;317;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
318;318;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
322;322;;BUS;2008-04-29 00:00:00.000;2008-04-29 00:00:00.000
323;323;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
325;325;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
336;336;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
338;338;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
342;342;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
396;396;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
401;401;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
402;402;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
403;403;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
404;404;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
408;408;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
409;409;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
410;410;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
413;413;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
414;414;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
417;417;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
418;418;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
420;420;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
421;421;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
422;422;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
424;424;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
425;425;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
426;426;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
428;428;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
429;429;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
430;430;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
432;432;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
433;433;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
434;434;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
435;435;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
436;436;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
437;437;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
438;438;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
439;439;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
440;440;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
441;441;;BUS;2012-12-09 00:00:00.000;2012-12-09 00:00:00.000
442;442;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
443;443;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
444;444;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
445;445;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
446;446;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
447;447;;BUS;2012-12-09 00:00:00.000;2012-12-09 00:00:00.000
448;448;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
449;449;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
452;452;;BUS;2007-09-18 00:00:00.000;2007-09-18 00:00:00.000
452;452;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
453;453;;BUS;2007-09-18 00:00:00.000;2007-09-18 00:00:00.000
453;453;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
454;454;;BUS;2013-12-15 00:00:00.000;2013-12-15 00:00:00.000
461;461;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
462;462;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
463;463;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
465;465;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
467;467;;BUS;2008-08-18 00:00:00.000;2008-08-18 00:00:00.000
469;469;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
471;471;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
474;474;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
480;480;;BUS;2013-02-12 00:00:00.000;2013-02-12 00:00:00.000
489;489;;BUS;2012-08-25 00:00:00.000;2012-08-25 00:00:00.000
491;491;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
492;492;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
496;496;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
497;497;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
502;502;;BUS;2012-12-09 00:00:00.000;2012-12-09 00:00:00.000
503;503;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
504;504;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
505;505;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
506;506;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
507;507;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
508;508;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
509;509;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
512;512;;BUS;2009-08-17 00:00:00.000;2009-08-17 00:00:00.000
513;513;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
514;514;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
515;515;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
516;516;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
517;517;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
518;518;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
520;520;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
522;522;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
523;523;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
524;524;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
525;525;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
526;526;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
527;527;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
528;528;;BUS;2008-07-18 00:00:00.000;2008-07-18 00:00:00.000
529;529;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
531;531;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
532;532;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
533;533;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
534;534;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
535;535;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
536;536;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
537;537;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
538;538;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
539;539;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
540;540;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
541;541;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
542;542;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
543;543;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
544;544;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
545;545;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
546;546;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
547;547;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
548;548;;BUS;2007-08-28 00:00:00.000;2007-08-28 00:00:00.000
549;549;;BUS;2008-07-19 00:00:00.000;2008-07-19 00:00:00.000
551;551;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
552;552;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
553;553;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
554;554;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
555;555;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
556;556;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
557;557;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
558;558;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
559;559;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
560;560;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
561;561;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
562;562;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
565;565;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
566;566;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
567;567;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
568;568;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
570;570;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
571;571;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
572;572;;BUS;2010-07-21 00:00:00.000;2010-07-21 00:00:00.000
573;573;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
574;574;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
575;575;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
576;576;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
577;577;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
579;579;;BUS;2011-05-10 00:00:00.000;2011-05-10 00:00:00.000
580;580;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
581;581;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
582;582;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
583;583;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
585;585;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
585;585;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
586;586;;BUS;2007-09-19 00:00:00.000;2007-09-19 00:00:00.000
586;586;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
589;589;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
591;591;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
592;592;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
593;593;;BUS;2009-07-16 00:00:00.000;2009-07-16 00:00:00.000
595;595;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
597;597;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
598;598;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
601;601;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
602;602;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
604;604;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
605;605;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
606;606;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
607;607;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
608;608;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
609;609;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
610;610;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
611;611;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
612;612;;BUS;2009-06-14 00:00:00.000;2009-06-14 00:00:00.000
613;613;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
614;614;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
615;615;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
616;616;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
617;617;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
618;618;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
619;619;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
620;620;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
621;621;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
622;622;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
623;623;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
624;624;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
625;625;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
626;626;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
627;627;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
628;628;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
629;629;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
630;630;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
631;631;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
632;632;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
633;633;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
634;634;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
635;635;;BUS;2010-07-10 00:00:00.000;2010-07-10 00:00:00.000
636;636;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
637;637;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
638;638;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
639;639;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
641;641;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
642;642;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
643;643;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
644;644;;BUS;2007-08-28 00:00:00.000;2007-08-28 00:00:00.000
645;645;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
646;646;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
647;647;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
648;648;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
649;649;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
651;651;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
652;652;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
653;653;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
654;654;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
655;655;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
656;656;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
657;657;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
658;658;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
659;659;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
660;660;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
661;661;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
662;662;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
663;663;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
664;664;;BUS;2009-07-11 00:00:00.000;2009-07-11 00:00:00.000
665;665;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
