#LineNumber;LineDesignation;DefaultTransportMode;DefaultTransportModeCode;LastModifiedUtcDateTime;ExistsFromDate
849;849;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
850;850;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
850;850;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
852;852;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
854;854;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
856;856;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
858;858;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
861;861;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
862;862;;BUS;2009-03-16 00:00:00.000;2009-03-16 00:00:00.000
865;865;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
869;869;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
872;872;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
873;873;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
875;875;blåbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
883;883;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
884;884;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
889;889;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
890;890;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
892;892;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
893;893;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
898;898;;BUS;2010-08-23 00:00:00.000;2010-08-23 00:00:00.000
901;901;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
903;903;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
904;904;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
905;905;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
