#SiteId;SiteName;StopAreaNumber;LastModifiedUtcDateTime;ExistsFromDate
512;Bergshyddan;512;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8086;Bergshyddan;80287;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3539;Bergshöjden;50317;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8652;Bergshöjden;81655;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2469;Bergsjödal;65905;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3851;Bergslagsplan;12481;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3663;Bergslagsvägen;12171;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3855;Bergslagsvägen;12473;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2562;Bergsten;66125;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9923;Bergstigen;50486;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1388;Bergsunds strand;10961;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3043;Bergsvägen;15353;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8929;Bergsätra;23502;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7909;Bergsättravägen;75927;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7472;Bergtorp;75026;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2238;Bergtorpsskolan;61717;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7696;Bergtorpsvägen;75788;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7281;Bergudden;70333;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7910;Bergviks servicehus;75903;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2923;Bergviks vägskäl;63871;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3123;Bergviksvägen;15431;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2424;Bergvägen;66501;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
135;Bernhardsro;135;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7229;Bernströmsvägen;70249;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1410;Berwaldhallen;10096;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2771;Betania;62675;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4541;Betesvägen;41735;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3201;Betlehem;15703;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4236;Betsede;41115;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3495;Biddlesberg;50132;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4053;Biet;40807;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9984;Billborgsgatan/Biblioteket;64567;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5731;Billbyvägen;57992;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6813;Billsta;64138;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7628;Birkavägen;75235;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5469;Bisslinge;51661;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9851;Bjulevägen;16156;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5357;Bjursvägen;56834;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
130;Bjurön;130;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2950;Björhövda gård;65245;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2951;Björhövda vägskäl;65247;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8184;Björkallén;70609;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7884;Björkarö;75628;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5101;Björkbacka;51991;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2785;Björkbacken;62695;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3212;Björkbacken;15721;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6424;Björkbacken;65361;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7457;Björkbacken;75714;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3331;Björkberga;15875;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6711;Björkbo;63685;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6477;Björkboda;64717;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7775;Björkbro;75304;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2513;Björkesta;66517;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7681;Björkesta;75366;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
